상호명,도로명주소,경도,위도
스프레드,서울특별시 성북구 성북로6가길 1,127.0046649,37.59033298
쥬시,서울특별시 성북구 돌곶이로 63,127.0583263,37.60932055
이립스,서울특별시 성북구 고려대로7길 84-7,127.0189199,37.58942155
심플커피,서울특별시 성북구 장위로 106,127.0484419,37.61354165
제뉴어리피크닉,서울특별시 성북구 창경궁로43길 26,127.0041553,37.58913468
공차,서울특별시 성북구 동소문로22길 4,127.0173242,37.59280052
오버스토리,서울특별시 성북구 선잠로2다길 13-13,126.999615,37.5987213
어버드커피,서울특별시 성북구 화랑로 177-1,127.0500801,37.60749533
디엔에이벤처스제삼호,서울특별시 성북구 동소문로 315,127.0287438,37.60840345
동네커피,서울특별시 성북구 길음로13길 22,127.0193213,37.6094415
정릉동커피,서울특별시 성북구 솔샘로6길 36-16,127.0071237,37.60870406
이디야커피,서울특별시 성북구 월계로40길 7,127.0484027,37.62294798
카페파파고,서울특별시 성북구 종암로 12,127.0366971,37.59144459
카페샐,서울특별시 성북구 보국문로 59,127.0094342,37.60964994
오감공간,서울특별시 성북구 정릉로38다길 34,127.016794,37.6017114
빽다방성신여대입구역점,서울특별시 성북구 동소문로20나길 3,127.0167805,37.59197168
카페그린릿지,서울특별시 성북구 보문로30길 76,127.0200299,37.59088097
토야푸드빌,서울특별시 성북구 성북로2길 4,127.00625,37.58886429
모블러,서울특별시 성북구 동소문로26다길 26,127.0204839,37.59504348
행운마트,서울특별시 성북구 안암로9가길 80-1,127.0284055,37.58252705
라미카페,서울특별시 성북구 정릉로10길 22,127.0003398,37.60775823
소일,서울특별시 성북구 보문로32길 40,127.0184331,37.5900343
하나둘;둘셋,서울특별시 성북구 길음로 33,127.0220155,37.6050442
이젠;봄,서울특별시 성북구 종암로9길 30,127.0338911,37.59591435
카페후프,서울특별시 성북구 장월로 126,127.0493047,37.61657763
달빛스테이,서울특별시 성북구 북악산로31길 39,127.0347283,37.59428331
듀드롭S,서울특별시 성북구 서경로 79,127.0145195,37.61032516
